algo,obs_mode,seed,episodes,mean_reward,std_reward,mean_len,success_rate,completion_ratio,near_clear_rate,model_path,vecnorm_used
ppo,bool_power,10,100,-91.59599853992462,3.545896789478757,40.9,0.0,0.07177777777777776,0.0,models\ppo\best\ppo_bool_power_seed10\best_model.zip,no
ppo,bool_power,30,100,-27.26000004000962,24.992185814588108,439.31,0.0,0.3600555555555555,0.0,models\ppo\best\ppo_bool_power_seed30\best_model.zip,no
ppo,coins_quadrants,10,100,27.466001132652163,13.483643756583852,221.86,0.0,0.5708333333333333,0.0,models\ppo\best\ppo_coins_quadrants_seed10\best_model.zip,no
ppo,coins_quadrants,30,100,-13.808000886440277,24.982291188404382,616.34,0.0,0.3685555555555555,0.0,models\ppo\best\ppo_coins_quadrants_seed30\best_model.zip,no
ppo,minimal,10,100,-89.26899879820645,3.8137296012555977,102.21,0.0,0.06872222222222221,0.0,models\ppo\best\ppo_minimal_seed10\best_model.zip,no
ppo,minimal,30,100,14.850997830182314,35.45919116426346,843.45,0.0,0.5555555555555555,0.0,models\ppo\best\ppo_minimal_seed30\best_model.zip,no
ppo,power_time,10,100,-61.287998764961955,9.197850810122462,92.31,0.0,0.18461111111111111,0.0,models\ppo\best\ppo_power_time_seed10\best_model.zip,no
ppo,power_time,30,100,-2.8050011065602303,37.4696755772137,703.42,0.0,0.4882777777777777,0.0,models\ppo\best\ppo_power_time_seed30\best_model.zip,no
