algo,obs_mode,seed,episodes,mean_reward,std_reward,mean_len,success_rate,completion_ratio,near_clear_rate,model_path,vecnorm_used
dqn,bool_power,50,100,31.222001551762222,27.70635885033259,250.94,0.0,0.5309444444444443,0.0,models\dqn\best\dqn_bool_power_seed50\best_model.zip,no
dqn,coins_quadrants,50,100,41.81099954731762,35.199796505304576,646.66,0.0,0.6776111111111112,0.0,models\dqn\best\dqn_coins_quadrants_seed50\best_model.zip,no
dqn,minimal,50,100,-14.56299979813397,31.303220907080647,617.88,0.0,0.4705555555555555,0.0,models\dqn\best\dqn_minimal_seed50\best_model.zip,no
dqn,power_time,50,100,37.18199933320284,37.30200468243553,713.57,0.0,0.6122222222222223,0.0,models\dqn\best\dqn_power_time_seed50\best_model.zip,no
